sync_num,icg_timestamp,ecg_timestamp,time_diff_ms,elapsed_time_s,elapsed_time_min,icg_samples_between,ecg_samples_between,icg_sample_deviation,ecg_sample_deviation
71,1761643704.376000,1761643704.363000,13.000,-19737.3,-328.95,392,400,-8,+0
72,1761643705.371500,1761643705.365000,6.500,-19736.3,-328.94,390,400,-10,+0
73,1761643706.377000,1761643706.365500,11.500,-19735.3,-328.92,391,398,-9,-2
74,1761643707.372500,1761643707.367000,5.500,-19734.3,-328.90,390,399,-10,-1
75,1761643708.376500,1761643708.366500,10.000,-19733.3,-328.89,392,398,-8,-2
76,1761643709.376000,1761643709.367000,9.000,-19732.3,-328.87,390,400,-10,+0
77,1761643710.376500,1761643710.369000,7.500,-19731.3,-328.85,393,400,-7,+0
78,1761643711.374500,1761643711.370500,4.000,-19730.3,-328.84,390,398,-10,-2
79,1761643712.378500,1761643712.368500,10.000,-19729.3,-328.82,391,399,-9,-1
80,1761643713.374500,1761643713.368000,6.500,-19728.3,-328.80,391,400,-9,+0
81,1761643714.377500,1761643714.367500,10.000,-19727.3,-328.79,391,401,-9,+1
82,1761643715.377000,1761643715.375500,1.500,-19726.3,-328.77,391,398,-9,-2
83,1761643716.382500,1761643716.370000,12.500,-19725.3,-328.75,391,400,-9,+0
84,1761643717.374500,1761643717.372000,2.500,-19724.3,-328.74,391,398,-9,-2
85,1761643718.382500,1761643718.371500,11.000,-19723.3,-328.72,391,400,-9,+0
86,1761643719.378000,1761643719.371000,7.000,-19722.3,-328.70,390,400,-10,+0
87,1761643720.384500,1761643720.373000,11.500,-19721.3,-328.69,391,398,-9,-2
88,1761643721.379000,1761643721.375000,4.000,-19720.3,-328.67,389,399,-11,-1
89,1761643722.383000,1761643722.372000,11.000,-19719.3,-328.65,390,399,-10,-1
90,1761643723.377500,1761643723.371500,6.000,-19718.3,-328.64,390,399,-10,-1
91,1761643724.384000,1761643724.373500,10.500,-19717.3,-328.62,391,396,-9,-4
92,1761643725.381000,1761643725.371500,9.500,-19716.3,-328.60,390,401,-10,+1
93,1761643726.388000,1761643726.376000,12.000,-19715.3,-328.59,390,400,-10,+0
94,1761643727.383500,1761643727.375000,8.500,-19714.3,-328.57,390,399,-10,-1
95,1761643728.387500,1761643728.376000,11.500,-19713.3,-328.55,389,400,-11,+0
96,1761643729.385500,1761643729.374000,11.500,-19712.3,-328.54,390,399,-10,-1
97,1761643730.384500,1761643730.373500,11.000,-19711.3,-328.52,392,400,-8,+0
