request_id,request_time_utc,elapsed_time_s,icg_response_time_utc,icg_request_duration_ms,icg_firmware_timestamp,icg_packet_samples,icg_sync_count,icg_sync_numbers,ecg_response_time_utc,ecg_request_duration_ms,ecg_firmware_timestamp,ecg_packet_samples,ecg_sync_count,ecg_sync_numbers,anomaly_multiple_icg_syncs,anomaly_multiple_ecg_syncs,anomaly_no_icg_data,anomaly_no_ecg_data,notes
1,2025-11-03T09:03:11.479057,0.0,2025-11-03T09:03:11.719800,240.7,1762140791.575000,80,0,,2025-11-03T09:03:11.720817,1.0,1762140791.567000,398,1,91,FALSE,FALSE,FALSE,FALSE,
2,2025-11-03T09:03:12.479142,1.0,2025-11-03T09:03:12.678968,199.8,1762140792.578000,397,1,92,2025-11-03T09:03:12.679451,0.5,1762140791.767000,79,0,,FALSE,FALSE,FALSE,FALSE,
3,2025-11-03T09:03:13.479135,2.0,2025-11-03T09:03:13.681315,202.2,1762140793.580000,397,1,93,2025-11-03T09:03:13.682269,0.9,1762140792.769000,400,1,92,FALSE,FALSE,FALSE,FALSE,
4,2025-11-03T09:03:14.479133,3.0,2025-11-03T09:03:14.583058,103.9,1762140794.482000,357,1,94,2025-11-03T09:03:14.584050,1.0,1762140793.772000,401,1,93,FALSE,FALSE,FALSE,FALSE,
5,2025-11-03T09:03:15.479135,4.0,2025-11-03T09:03:15.585114,106.0,1762140795.484000,398,1,95,2025-11-03T09:03:15.586013,0.9,1762140794.674000,360,1,94,FALSE,FALSE,FALSE,FALSE,
6,2025-11-03T09:03:16.479137,5.0,2025-11-03T09:03:16.588232,109.1,1762140796.487000,397,1,96,2025-11-03T09:03:16.589272,1.0,1762140795.675000,399,1,95,FALSE,FALSE,FALSE,FALSE,
7,2025-11-03T09:03:17.479144,6.0,2025-11-03T09:03:17.589984,110.8,1762140797.488000,397,1,97,2025-11-03T09:03:17.591034,1.0,1762140796.677000,400,1,96,FALSE,FALSE,FALSE,FALSE,
8,2025-11-03T09:03:18.479133,7.0,2025-11-03T09:03:18.592114,113.0,1762140798.491000,397,1,98,2025-11-03T09:03:18.595472,3.4,1762140797.679000,399,1,97,FALSE,FALSE,FALSE,FALSE,
9,2025-11-03T09:03:19.479136,8.0,2025-11-03T09:03:19.594302,115.2,1762140799.493000,398,1,99,2025-11-03T09:03:19.595627,1.3,1762140798.680000,400,1,98,FALSE,FALSE,FALSE,FALSE,
10,2025-11-03T09:03:20.479136,9.0,2025-11-03T09:03:20.596880,117.7,1762140800.495000,397,1,100,2025-11-03T09:03:20.597909,1.0,1762140799.681000,399,1,99,FALSE,FALSE,FALSE,FALSE,
11,2025-11-03T09:03:21.479134,10.0,2025-11-03T09:03:21.598831,119.7,1762140801.497000,397,1,101,2025-11-03T09:03:21.599942,1.1,1762140800.683000,400,1,100,FALSE,FALSE,FALSE,FALSE,
12,2025-11-03T09:03:22.479135,11.0,2025-11-03T09:03:22.600858,121.7,1762140802.499000,397,1,102,2025-11-03T09:03:22.601887,1.0,1762140801.685000,397,1,101,FALSE,FALSE,FALSE,FALSE,
13,2025-11-03T09:03:23.479135,12.0,2025-11-03T09:03:23.603105,124.0,1762140803.502000,397,1,103,2025-11-03T09:03:23.604402,1.3,1762140802.686000,400,1,102,FALSE,FALSE,FALSE,FALSE,
14,2025-11-03T09:03:24.479132,13.0,2025-11-03T09:03:24.605777,126.6,1762140804.504000,399,1,104,2025-11-03T09:03:24.606952,1.2,1762140803.688000,400,1,103,FALSE,FALSE,FALSE,FALSE,
15,2025-11-03T09:03:25.479133,14.0,2025-11-03T09:03:25.608297,129.2,1762140805.507000,397,1,105,2025-11-03T09:03:25.609545,1.2,1762140804.690000,401,1,104,FALSE,FALSE,FALSE,FALSE,
